ID;Status;TaxonName;SVPetLenMin_mm;SVPetLenMax_mm;SepLenMin_mm;SepLenMax_mm;FrLenMin_mm;FrLenMax_mm;SeedLenMin_mm;SeedLenMax_mm;SVPropLenMin_mm;SVPropLenMax_mm;LeafLenMin_mm;LeafLenMax_mm;LeafWidMin_mm;LeafWidMax_mm;StemLenMin_cm;StemLenMax_cm;ChromNo;MinAlt;MaxAlt;AltRange;StartFloPer;EndFloPer;FloPer;;;;;;;;;;
41;E;Hypecoum procumbens subsp fragrantissimum;6.10;9.30;2.00;4.00;2.00;3.50;;;;;;;;;5.00;40.00;16;;;;3;5;2;;;;;;;;;;
41;W;Hypecoum procumbens subsp procumbens;3.70;12.10;2.00;7.00;2.00;3.50;;;;;;;;;5.00;35.00;16;0;200;200;3;6;3.5;;;;;;;;;;
42;E;Hypericum delphicum;;;;;;;;;;;12.0;35.0;;;12.0;35.0;16;100;900;800;5;7;3;;;;;;;;;;
42;W;Hypericum triquetrifolium;5.0;7.0;;;3.0;5.0;;;;;3.0;20.0;;;15.0;55.0;16;0;600;600;5;9;5;;;;;;;;;;
43;E;Origanum symes;13.00;13.00;3.30;3.80;;;;;;;13.00;22.00;9.00;17.00;;35.00;;0;50;50;6;6;0.5;;;;;;;;;;
43;W;Origanum onites;3.00;7.00;3.50;3.50;;;;;;;3.00;22.00;2.00;19.00;;65.00;;0;500;500;4;7;4;;;;;;;;;;
44;E;Thymus samius;6.00;6.00;4.00;5.00;;;;;;;8.50;13.00;1.00;1.20;2.00;6.00;;800;1150;350;5;6;2;;;;;;;;;;
44;W;Thymus zygioides;7.00;7.00;3.50;4.50;;;;;;;6.50;15.00;0.80;1.70;2.00;8.00;;100;1050;950;4;7;3;;;;;;;;;;
45;E;Fritillaria euboeica;16.00;24.00;;;;20.00;;;;;;;;;5.00;20.00;24;700;1500;800;3;5;3;;;;;;;;;;
45;W;Fritillaria carica;13.00;20.00;;;;;;;;;30.00;75.00;6.00;18.00;3.00;15.00;;400;1100;700;3;5;3;;;;;;;;;;
46;E;Linum gyaricum subsp icaricum;18.0;19.0;8.0;9.0;5.0;5.0;3.0;3.0;3.0;3.0;9.0;25.0;3.0;7.0;5.0;12.0;28;250;750;500;5;6;2;;;;;;;;;;
46;W;Linum trigynum;3.5;4.5;2.5;3.5;2.0;3.0;;;;;10.0;20.0;1.0;2.0;7.0;35.0;;0;800;800;4;6;3;;;;;;;;;;
47;E;Dactylorhiza kalopisii subsp pythagorae;9.80;12.70;11.00;15.50;;;;;;;;;;;;60.00;;800;900;100;6;6;1;;;;;;;;;;
47;W;Dactylorhiza saccifera;6.00;10.00;;12.00;;;;;;;170.00;170.00;50.00;50.00;20.00;60.00;;300;1600;1300;5;8;4;;;;;;;;;;
48;E;Armeria johnsenii;;;4.0;4.5;;;;;;;15.0;45.0;0.8;1.5;6.0;23.0;;0;100;100;6;6;1;;;;;;;;;;
48;W;Armeria canescens;12.0;20.0;6.0;10.0;;;;;;;35.0;55.0;2.0;3.0;;;;700;1800;1100;5;7;3;;;;;;;;;;
49;E;Limonium hirsuticalyx;6.0;8.0;3.0;3.0;;;;;;;80.0;180.0;;;30.0;70.0;;0;10;10;5;9;5;;;;;;;;;;
49;W;Limonium narbonense;6.0;8.0;4.0;5.0;;;;;;;80.0;180.0;;;30.0;70.0;;0;;;5;9;5;;;;;;;;;;
50;E;Limonium minoicum;;;4.5;5.5;;;;;;;40.0;100.0;10.0;18.0;20.0;40.0;;;;;8;8;1;;;;;;;;;;
50;W;Limonium sieberi;;;5.5;8.0;;;;;;;20.0;45.0;3.0;11.0;15.0;30.0;43;0;200;200;5;7;3;;;;;;;;;;
51;E;Aegilops biuncialis subsp archipelagica;;;7.0;10.0;;;;;;;;;2.0;3.0;15.0;30.0;;0;700;700;4;5;2;;;;;;;;;;
51;W;Aegilops biuncialis subsp biuncialis;;;7.0;10.0;;;;;;;;;2.0;3.0;15.0;30.0;;0;700;700;4;5;2;;;;;;;;;;
52;E;Festuca pseudosupina;;;4.6;4.9;;;;;;;;;0.3;0.5;10.0;17.0;;800;1200;400;5;6;2;;;;;;;;;;
52;W;Festuca jeanpertii;;;3.6;5.0;;;;;;;;;0.6;1.0;30.0;60.0;;200;1200;1000;4;7;4;;;;;;;;;;
53;E;Polygonum icaricum;2.50;3.50;;;2.50;3.50;;;2.50;3.50;5.00;15.00;1.00;2.50;15.00;30.00;;300;1600;1300;5;6;2;;;;;;;;;;
53;W;Polygonum longipes;2.00;2.50;;;1.60;2.20;;;1.60;2.20;8.00;11.00;3.00;4.00;40.00;100.00;;0;800;800;6;9;4;;;;;;;;;;
54;E;Cyclamen rhodium subsp rhodium;15.0;30.0;5.5;6.5;;;;;;;40.0;130.0;;130.0;4.0;10.0;20;200;1400;1200;4;6;3;;;;;;;;;;
54;W;Cyclamen hederifolium;20.0;20.0;;;;;;;;;30.0;140.0;20.0;100.0;5.0;20.0;24;0;1300;1300;8;11;4;;;;;;;;;;
55;E;Consolida samia;15.00;17.00;9.00;10.00;10.00;10.00;;;;;;;;;4.00;6.00;12;800;900;100;5;7;2;;;;;;;;;;
55;W;Consolida ajacis;13.00;18.00;10.00;18.00;15.00;20.00;1.80;2.50;1.80;2.50;;;;;15.00;40.00;16;0;1200;1200;4;7;4;;;;;;;;;;
56;E;Nigella icarica;5.00;7.00;;;8.00;12.00;2.30;2.80;2.30;2.80;;;;;10.00;25.00;;400;1000;600;6;7;2;;;;;;;;;;
56;W;Nigella arvensis subsp glauca;7.00;10.00;;;7.00;13.00;1.80;2.20;1.80;2.20;;;;;10.00;50.00;12;;;;;;;;;;;;;;;;
57;E;Asperula ophiolitica;4.2;5.2;;;2.0;2.5;;;;;8.0;15.0;0.5;0.8;20.0;45.0;;50;400;350;6;6;1;;;;;;;;;;
57;W;Asperula aristata;6.5;10.0;;;1.5;2.0;;;;;15.0;25.0;0.5;2.0;10.0;60.0;;400;1800;1400;5;7;3;;;;;;;;;;
58;E;Cruciata taurica subsp euboea;2.5;4.0;;;4.0;12.0;3.0;4.0;4.0;4.0;8.0;18.0;4.0;12.0;10.0;30.0;;700;1500;800;4;6;3;;;;;;;;;;
58;W;Cruciata laevipes;2.0;3.0;;;5.0;8.0;2.0;2.5;2.0;2.5;12.0;20.0;4.0;10.0;20.0;60.0;22;200;1300;1100;3;7;5;;;;;;;;;;
59;E;Galium pastorale;3.0;4.0;;;;;;;;;3.0;7.0;;;3.0;10.0;;900;1400;500;5;7;3;;;;;;;;;;
59;W;Galium heldreichii;2.0;3.0;;;;;;;;;10.0;20.0;1.0;5.0;;80.0;22;0;1000;1000;4;7;4;;;;;;;;;;
60;E;Scrophularia spinulescens;3.0;4.0;;;3.0;3.5;;;;;6.0;20.0;1.0;8.0;15.0;40.0;22;800;1500;700;5;7;3;;;;;;;;;;
60;W;Scrophularia canina;4.0;5.0;;;4.0;5.0;;;;;10.0;80.0;;;30.0;100.0;;0;1500;1500;4;7;4;;;;;;;;;;
61;E;Verbascum euboicum;25.0;35.0;;;7.0;7.0;;;;;60.0;140.0;;;25.0;80.0;;300;1100;800;5;7;3;;;;;;;;;;
61;W;Verbascum mallophorum;15.0;30.0;2.5;4.0;4.0;6.0;;;;;150.0;450.0;50.0;150.0;50.0;150.0;;300;1600;1300;6;8;3;;;;;;;;;;
62;E;Verbascum adeliae;18.0;30.0;3.0;4.0;3.0;4.5;;;;;100.0;250.0;50.0;120.0;50.0;200.0;;0;700;700;5;6;2;;;;;;;;;;
62;W;Verbascum phlomoides;30.0;50.0;6.0;12.0;4.0;7.0;;;;;50.0;400.0;30.0;120.0;30.0;120.0;;0;900;900;5;8;4;;;;;;;;;;
63;E;Cymbalaria microcalyx subsp paradoxa;7.0;9.0;1.0;1.5;;;1.0;1.3;1.0;1.3;10.0;15.0;6.0;30.0;;;;0;700;700;5;7;3;;;;;;;;;;
63;W;Cymbalaria microcalyx subsp microcalyx;7.0;9.0;1.0;1.5;;;1.0;1.3;1.0;1.3;10.0;15.0;6.0;30.0;;;;0;700;700;6;7;2;;;;;;;;;;
64;E;Viola samothracica;;;;;;;;;;;;;;;;;22;1000;1600;600;4;6;3;;;;;;;;;;
64;W;Viola parvula;5.5;7.5;3.0;6.0;2.5;4.0;1.7;1.7;;;;;;;2.0;10.0;10;900;1600;700;4;7;4;;;;;;;;;;
